Phase_Code,Phase_Code_Name,Field_log_ID,Field_Log_Name,Job_ID,Job_Name,Unit_Of_Measurement,Total_Cost
P1,Site Survey and Analysis,F1,Equipment Maintenance,J1,Site Preparation, Hours/Site,37418
P2,Environmental Impact Assessment,F2,Safety Briefing,J2,Foundation Excavation, Hours/Assessment,37069
P3,Soil Testing and Analysis,F3,Material Inventory,J3,Backfilling, Hours/Test,38585
P4,Permit Acquisition,F4,Site Security Patrol,J4,Formwork and Reinforcement, Days/Permit,20690
P5,Mobilization of Equipment,F5,Environmental Monitoring,J5,Concrete Pouring, Hours/Equipment Load,30577
P6,Installation of Temporary Fencing,F6,Material Handling,J6,Curing and Finishing, Linear Feet/Hour,25593
P7,Excavation and Earthwork,F7,Equipment Operation,J7,Foundation Waterproofing, Cubic Yards/Hour,37117
P8,Erosion Control Measures,F8,Worksite Inspection,J8,Anchor Bolt Installation, Square Feet/Hour,39910
P9,Underground Utility Locating,F9,Tool Maintenance,J9,Structural Steel Fabrication, Hours/Utility Mark,25277
P10,Foundation Design and Layout,F10,Waste Management,J10,Welding and Inspection, Hours/Plan,26228
P11,Footing Excavation,F11,Hazardous Material Handling,J11,Column Installation, Cubic Yards/Hour,31772
P12,Footing Pouring and Curing,F12,Emergency Response Drill,J12,Beam Installation, Cubic Yards/Hour,27622
P13,Foundation Waterproofing,F13,Worksite Cleanup,J13,Roof Truss Fabrication, Gallons/Hour,24984
P14,Backfilling Foundation,F14,Weather Monitoring,J14,Roof Truss Installation, Cubic Yards/Hour,31471
P15,Foundation Inspection,F15,Communication Log,J15,Formwork Installation, Hours/Inspection,25557
P16,Anchor Bolt Installation,F16,Daily Progress Report,J16,Reinforcement Placement, Bolts/Hour,22446
P17,Setting Building Layout Lines,F17,Equipment Fueling,J17,Concrete Pumping, Hours/Point,26018
P18,Site Grading and Leveling,F18,Equipment Lubrication,J18,Concrete Testing, Square Feet/Hour,39112
P19,Installation of Subsurface Drainage,F19,Equipment Repair,J19,Slab Pouring, Linear Feet/Hour,29335
P20,Installation of Site Utilities,F20,Crew Deployment,J20,Slab Finishing, Linear Feet/Hour,30032
P21,Rough Plumbing Installation,F21,Crew Briefing,J21,Concrete Sealing, Linear Feet/Hour,29493
P22,Rough Electrical Installation,F22,Equipment Deployment,J22,Masonry Wall Construction, Linear Feet/Hour,33198
P23,Rough HVAC Installation,F23,Incident Report,J23,Bricklaying, Linear Feet/Hour,32603
P24,Installation of Vapor Barriers,F24,Safety Incident Report,J24,Blocklaying, Square Feet/Hour,33943
P25,Pouring Slab-on-Grade,F25,Environmental Incident Report,J25,Stone Masonry, Cubic Yards/Hour,39168
P26,Slab Finishing and Curing,F26,Material Requisition,J26,Grouting, Square Feet/Hour,39396
P27,Concrete Curing and Protection,F27,Material Delivery Confirmation,J27,Joint Sealing, Days,22312
P28,Installation of Termite Treatment,F28,Material Handling Log,J28,Waterproofing, Gallons/Hour,23519
P29,Masonry Block Installation,F29,Safety Equipment Inspection,J29,Insulation Installation, Blocks/Hour,21409
P30,Framing Wall Construction,F30,First Aid Log,J30,Drywall Hanging, Linear Feet/Hour,24037
P31,Roof Deck Installation,F31,Toolbox Talk Log,J31,Drywall Finishing, Square Feet/Hour,33571
P32,Exterior Sheathing Installation,F32,Training Record,J32,Taping and Mudding, Square Feet/Hour,35717
P33,Window and Door Installation,F33,Near Miss Report,J33,Sanding, Windows or Doors/Hour,26951
P34,Roofing Installation,F34,Daily Work Log,J34,Priming, Square Feet/Hour,26285
P35,Siding Installation,F35,Break Log,J35,Painting (Interior), Square Feet/Hour,30520
P36,Exterior Trim Installation,F36,Lunch Log,J36,Painting (Exterior), Linear Feet/Hour,21882
P37,Installation of Insulation,F37,End-of-Day Inspection,J37,Wallpaper Installation, Square Feet/Hour,36549
P38,Drywall Installation,F38,Worksite Access Log,J38,Flooring Installation, Square Feet/Hour,24859
P39,Interior Trim Carpentry,F39,Vehicle Inspection Log,J39,Tile Setting, Linear Feet/Hour,29878
P40,Interior Door Installation,F40,Equipment Usage Log,J40,Grouting (Floor), Doors/Hour,20083
P41,Interior Painting,F41,Material Usage Log,J41,Hardwood Floor Installation, Square Feet/Hour,37200
P42,Flooring Installation,F42,Daily Equipment Inspection,J42,Carpet Installation, Square Feet/Hour,33875
P43,Tile Installation,F43,Material Transfer Log,J43,Vinyl Flooring Installation, Square Feet/Hour,32575
P44,Cabinetry Installation,F44,Waste Disposal Log,J44,Laminate Flooring Installation, Cabinets/Hour,39623
P45,Countertop Installation,F45,Safety Observation Log,J45,Epoxy Flooring Installation, Square Feet/Hour,35187
P46,Plumbing Fixture Installation,F46,Incident Investigation Log,J46,Countertop Fabrication, Fixtures/Hour,29342
P47,Electrical Fixture Installation,F47,Equipment Maintenance Log,J47,Countertop Installation, Fixtures/Hour,38287
P48,HVAC Ductwork Installation,F48,Safety Meeting Log,J48,Cabinet Installation, Linear Feet/Hour,38621
P49,Exterior Painting,F49,Environmental Compliance Log,J49,Door Installation, Square Feet/Hour,35608
P50,Landscaping Preparation,F50,Material Stockpile Log,J50,Window Installation, Square Feet/Hour,37212
P51,Hardscaping Installation,F51,Material Disbursement Log,J51,Trim Installation, Square Feet/Hour,24762
P52,Irrigation System Installation,F52,Safety Training Log,J52,Staircase Construction, Linear Feet/Hour,25736
P53,Planting and Sodding,F53,Equipment Calibration Log,J53,Railing Installation, Square Feet/Hour,30170
P54,Fence and Gate Installation,F54,Worksite Incident Log,J54,Deck Construction, Linear Feet/Hour,32199
P55,Final Grading and Drainage,F55,Material Inventory Log,J55,Fence Installation, Square Feet/Hour,32499
P56,Final Site Cleanup,F56,Tool Inventory Log,J56,Landscaping, Square Feet/Hour,25532
P57,Punch List Creation,F57,Equipment Inspection Log,J57,Lawn Installation, Items/Hour,34072
P58,Punch List Completion,F58,Material Handling Equipment Log,J58,Tree Planting, Items/Hour,33501
P59,Final Inspection,F59,Safety Equipment Inventory Log,J59,Shrubbery Planting, Inspections/Hour,22181
P60,Certificate of Occupancy,F60,Worksite Access Control Log,J60,Irrigation System Installation, Certificates/Hour,31260
P61,Owner Training and Handover,F61,Vehicle Maintenance Log,J61,Paving, Hours/Training,27710
P62,Warranty Documentation,F62,Worksite Weather Log,J62,Sidewalk Installation, Documents/Hour,33902
P63,As-Built Drawings Preparation,F63,Worksite Communication Log,J63,Driveway Installation,Built Drawings Preparation ,25429
P64,Record Document Compilation,F64,Worksite Incident Report Log,J64,Parking Lot Striping, Sets/Hour,24296
P65,Closeout Meeting,F65,Material Reconciliation Log,J65,Signage Installation, Meetings/Hour,21868
P66,Project Closeout,F66,Crew Attendance Log,J66,Lighting Installation, Items/Hour,35808
