ADH_Ref_ID,Date,PhaseCode,Crew_ID,Weather_ID,ActualHours,ActualQuantity
A1,2022-06-18,P8,C9,W771,8.754716981,810.2884615
A2,2022-07-22,P96,C12,W504,5.288753799,76.16066667
A3,2022-04-04,P9,C7,W1598,3.70212766,82.8375
A4,2022-04-26,P58,C13,W2036,6.464968153,788.768
A5,2022-01-07,P87,C4,W609,5,1816.56
A6,2022-02-11,P65,C8,W1245,5.240963855,661.344
A7,2022-04-27,P97,C17,W418,5.850144092,451.2334286
A8,2022-05-05,P48,C7,W2054,6.655737705,413.4444444
A9,2022-07-12,P92,C13,W1396,3,2.50297619
A10,2022-10-23,P16,C16,W1198,3.126684636,137.641
A11,2022-08-13,P22,C12,W1428,7.733333333,25.77565632
A12,2022-05-13,P58,C3,W1036,3.213296399,104.2568
A13,2022-07-01,P98,C13,W1385,3.214285714,1.52239877
A14,2022-02-27,P53,C8,W961,2.066508314,141.7928
A15,2022-09-26,P28,C14,W1773,4.00921659,6.976148148
A16,2022-04-28,P4,C13,W1021,2.295514512,39.43086275
A17,2022-05-17,P67,C19,W1340,3.444444444,0.8748
A18,2022-01-25,P78,C15,W25,5.194029851,673.35
A19,2022-07-07,P85,C14,W2612,6.928327645,515.094
A20,2022-10-24,P15,C20,W1801,4.53125,3.136
A21,2022-03-04,P79,C16,W1930,8.087649402,378.006
A22,2022-03-29,P16,C5,W690,7.122807018,812.25
A23,2022-10-01,P7,C1,W1477,7,82.72131148
A24,2022-04-29,P62,C12,W1623,3.866666667,30.375
A25,2022-07-12,P56,C17,W2198,8.226950355,64.26181818
A26,2022-07-30,P67,C12,W813,9.28,187.5
A27,2022-09-28,P21,C6,W873,9.098039216,96.33333333
A28,2022-10-01,P29,C13,W2359,6.304347826,66.24
A29,2022-05-09,P45,C4,W2062,7.412140575,1371.566
A30,2022-08-18,P90,C7,W230,5.072886297,476.9554054
A31,2022-02-08,P54,C17,W1882,5.043478261,42.32
A32,2022-04-11,P62,C12,W2006,6.059701493,673.35
A33,2022-08-24,P76,C17,W2284,8.888888889,204.363
A34,2022-08-26,P49,C4,W539,6.925373134,897.8
A35,2022-08-02,P80,C14,W1116,2.811634349,122.1759375
A36,2022-02-27,P88,C1,W2472,9.28,937.5
A37,2022-08-08,P54,C8,W2644,7,86.25641026
A38,2022-10-26,P12,C16,W1201,2.345013477,137.641
A39,2022-03-08,P11,C5,W669,7.122807018,812.25
A40,2022-04-18,P67,C6,W1612,3.866666667,30.375
A41,2022-01-20,P70,C3,W1223,6.863905325,685.464
A42,2022-04-29,P16,C18,W2533,5.058139535,1183.36
A43,2022-05-10,P12,C17,W1333,3.444444444,1.458
A44,2022-04-21,P24,C5,W2026,6.699669967,1101.708
A45,2022-09-08,P99,C5,W2313,6.170212766,26.11362567
A46,2022-02-04,P45,C5,W1238,6.00591716,1599.416
A47,2022-05-14,P47,C2,W736,6.566037736,187.2666667
A48,2022-02-24,P73,C20,W1914,6.877470356,384.054
A49,2022-04-26,P72,C3,W2036,5.541401274,591.576
A50,2022-07-08,P60,C20,W2613,7.024221453,151.8563636
A51,2022-07-28,P67,C19,W2230,6.020761246,77.09630769
A52,2022-05-19,P8,C6,W2082,7.508090615,1432.215
A53,2022-09-22,P8,C12,W2341,7.355072464,82.8
A54,2022-03-19,P35,C12,W981,3.076923077,198.9806
A55,2022-02-08,P79,C11,W1882,3.782608696,31.74
