Phase_Code,Phase_Code_Name,Field_log_ID,Field_Log_Name,Job_ID,Job_Name,Unit_Of_Measurement,Total_Cost
P1,Site Survey and Analysis,F1,Equipment Maintenance,J1,Site Preparation, Hours/Site,51965.00 
P2,Environmental Impact Assessment,F2,Safety Briefing,J2,Foundation Excavation, Hours/Assessment,29441.00 
P3,Soil Testing and Analysis,F3,Material Inventory,J3,Backfilling, Hours/Test,47230.00 
P4,Permit Acquisition,F4,Site Security Patrol,J4,Formwork and Reinforcement, Days/Permit,49567.00 
P5,Mobilization of Equipment,F5,Environmental Monitoring,J5,Concrete Pouring, Hours/Equipment Load,51184.00 
P6,Installation of Temporary Fencing,F6,Material Handling,J6,Curing and Finishing, Linear Feet/Hour,40727.00 
P7,Excavation and Earthwork,F7,Equipment Operation,J7,Foundation Waterproofing, Cubic Yards/Hour,67942.00 
P8,Erosion Control Measures,F8,Worksite Inspection,J8,Anchor Bolt Installation, Square Feet/Hour,61755.00 
P9,Underground Utility Locating,F9,Tool Maintenance,J9,Structural Steel Fabrication, Hours/Utility Mark,49737.00 
P10,Foundation Design and Layout,F10,Waste Management,J10,Welding and Inspection, Hours/Plan,48905.00 
P11,Footing Excavation,F11,Hazardous Material Handling,J11,Column Installation, Cubic Yards/Hour,57543.00 
P12,Footing Pouring and Curing,F12,Emergency Response Drill,J12,Beam Installation, Cubic Yards/Hour,44590.00 
P13,Foundation Waterproofing,F13,Worksite Cleanup,J13,Roof Truss Fabrication, Gallons/Hour,34451.00 
P14,Backfilling Foundation,F14,Weather Monitoring,J14,Roof Truss Installation, Cubic Yards/Hour,40649.00 
P15,Foundation Inspection,F15,Communication Log,J15,Formwork Installation, Hours/Inspection,35937.00 
P16,Anchor Bolt Installation,F16,Daily Progress Report,J16,Reinforcement Placement, Bolts/Hour,73339.00 
P17,Setting Building Layout Lines,F17,Equipment Fueling,J17,Concrete Pumping, Hours/Point,70636.00 
P18,Site Grading and Leveling,F18,Equipment Lubrication,J18,Concrete Testing, Square Feet/Hour,58776.00 
P19,Installation of Subsurface Drainage,F19,Equipment Repair,J19,Slab Pouring, Linear Feet/Hour,32694.00 
P20,Installation of Site Utilities,F20,Crew Deployment,J20,Slab Finishing, Linear Feet/Hour,42254.00 
P21,Rough Plumbing Installation,F21,Crew Briefing,J21,Concrete Sealing, Linear Feet/Hour,40701.00 
P22,Rough Electrical Installation,F22,Equipment Deployment,J22,Masonry Wall Construction, Linear Feet/Hour,33574.00 
P23,Rough HVAC Installation,F23,Incident Report,J23,Bricklaying, Linear Feet/Hour,51611.00 
P24,Installation of Vapor Barriers,F24,Safety Incident Report,J24,Blocklaying, Square Feet/Hour,76586.00 
P25,Pouring Slab-on-Grade,F25,Environmental Incident Report,J25,Stone Masonry, Cubic Yards/Hour,39664.00 
P26,Slab Finishing and Curing,F26,Material Requisition,J26,Grouting, Square Feet/Hour,48986.00 
P27,Concrete Curing and Protection,F27,Material Delivery Confirmation,J27,Joint Sealing, Days,27060.00 
P28,Installation of Termite Treatment,F28,Material Handling Log,J28,Waterproofing, Gallons/Hour,26047.00 
P29,Masonry Block Installation,F29,Safety Equipment Inspection,J29,Insulation Installation, Blocks/Hour,32683.00 
P30,Framing Wall Construction,F30,First Aid Log,J30,Drywall Hanging, Linear Feet/Hour,49046.00 
P31,Roof Deck Installation,F31,Toolbox Talk Log,J31,Drywall Finishing, Square Feet/Hour,43844.00 
P32,Exterior Sheathing Installation,F32,Training Record,J32,Taping and Mudding, Square Feet/Hour,42410.00 
P33,Window and Door Installation,F33,Near Miss Report,J33,Sanding, Windows or Doors/Hour,68589.00 
P34,Roofing Installation,F34,Daily Work Log,J34,Priming, Square Feet/Hour,43495.00 
P35,Siding Installation,F35,Break Log,J35,Painting (Interior), Square Feet/Hour,66707.00 
P36,Exterior Trim Installation,F36,Lunch Log,J36,Painting (Exterior), Linear Feet/Hour,56822.00 
P37,Installation of Insulation,F37,End-of-Day Inspection,J37,Wallpaper Installation, Square Feet/Hour,34937.00 
P38,Drywall Installation,F38,Worksite Access Log,J38,Flooring Installation, Square Feet/Hour,36706.00 
P39,Interior Trim Carpentry,F39,Vehicle Inspection Log,J39,Tile Setting, Linear Feet/Hour,50094.00 
